year,month,month_num,IHSG,LQ45,BISNIS27
2006,Jan,1,1232.32,273.35,
2006,Feb,2,1230.66,275.40,
2006,Mar,3,1322.97,293.88,
2006,Apr,4,1464.41,325.69,
2006,May,5,1329.99,292.63,
2006,Jun,6,1310.26,289.52,
2006,Jul,7,1351.65,297.85,
2006,Aug,8,1431.26,316.62,
2006,Sep,9,1534.61,338.72,
2006,Oct,10,1582.63,351.22,
2006,Nov,11,1718.96,381.29,
2006,Dec,12,1805.52,393.11,
2007,Jan,1,1757.26,385.67,
2007,Feb,2,1740.97,380.79,
2007,Mar,3,1830.92,401.14,
2007,Apr,4,1999.17,440.17,
2007,May,5,2084.32,459.83,
2007,Jun,6,2139.28,474.78,
2007,Jul,7,2348.67,519.78,
2007,Aug,8,2194.34,483.11,
2007,Sep,9,2359.21,524.68,
2007,Oct,10,2643.49,593.32,
2007,Nov,11,2688.33,599.82,
2007,Dec,12,2745.83,599.82,
2008,Jan,1,2627.25,580.98,
2008,Feb,2,2721.94,599.53,
2008,Mar,3,2447.30,539.12,
2008,Apr,4,2304.52,510.04,
2008,May,5,2444.35,540.55,
2008,Jun,6,2349.10,519.64,
2008,Jul,7,2304.51,505.79,
2008,Aug,8,2165.94,478.29,
2008,Sep,9,1832.51,396.56,
2008,Oct,10,1256.70,270.23,
2008,Nov,11,1241.54,268.95,
2008,Dec,12,1355.41,295.62,
2009,Jan,1,1332.67,291.88,
2009,Feb,2,1285.48,276.12,169.84
2009,Mar,3,1434.07,311.70,194.83
2009,Apr,4,1722.77,378.50,237.03
2009,May,5,1916.83,423.17,264.38
2009,Jun,6,2026.78,448.33,278.57
2009,Jul,7,2323.24,511.98,320.94
2009,Aug,8,2341.54,521.25,326.08
2009,Sep,9,2467.59,546.65,344.96
2009,Oct,10,2367.70,518.58,329.70
2009,Nov,11,2415.84,530.14,335.45
2009,Dec,12,2534.36,498.29,318.19
2010,Jan,1,2610.80,509.06,328.04
2010,Feb,2,2549.03,494.75,319.32
2010,Mar,3,2777.30,539.80,346.09
2010,Apr,4,2971.25,579.22,371.20
2010,May,5,2796.96,547.28,350.45
2010,Jun,6,2913.68,572.44,364.88
2010,Jul,7,3069.28,606.31,388.00
2010,Aug,8,3081.88,609.59,391.49
2010,Sep,9,3501.30,680.72,434.72
2010,Oct,10,3635.32,699.48,445.50
2010,Nov,11,3531.21,673.42,432.32
2010,Dec,12,3703.51,661.38,432.91
2011,Jan,1,3409.17,611.14,400.92
2011,Feb,2,3470.35,628.32,412.22
2011,Mar,3,3678.67,666.53,438.31
2011,Apr,4,3819.62,694.95,457.43
2011,May,5,3836.97,699.83,462.32
2011,Jun,6,3888.57,704.37,462.83
2011,Jul,7,4130.80,747.35,489.43
2011,Aug,8,3841.73,692.57,456.34
2011,Sep,9,3549.03,637.96,422.74
2011,Oct,10,3790.85,682.85,451.68
2011,Nov,11,3715.08,671.03,442.43
2011,Dec,12,3821.99,673.51,448.44
2012,Jan,1,3941.69,703.48,465.34
2012,Feb,2,3985.21,710.88,469.41
2012,Mar,3,4121.55,735.14,486.83
2012,Apr,4,4180.73,741.80,492.19
2012,May,5,3832.82,677.84,451.56
2012,Jun,6,3955.58,694.87,461.11
2012,Jul,7,4142.34,727.37,483.56
2012,Aug,8,4060.33,714.88,476.25
2012,Sep,9,4262.56,753.27,500.65
2012,Oct,10,4350.29,770.14,512.65
2012,Nov,11,4276.14,755.83,503.60
2012,Dec,12,4316.69,735.04,501.17
2013,Jan,1,4453.70,762.24,518.14
2013,Feb,2,4795.79,822.63,561.12
2013,Mar,3,4940.99,849.75,577.35
2013,Apr,4,5034.07,864.51,589.44
2013,May,5,5068.63,874.06,596.92
2013,Jun,6,4818.90,823.55,561.48
2013,Jul,7,4610.38,783.41,531.34
2013,Aug,8,4195.09,700.47,476.96
2013,Sep,9,4316.18,729.20,494.62
2013,Oct,10,4510.63,764.22,519.81
2013,Nov,11,4256.44,713.14,483.50
2013,Dec,12,4274.18,711.14,479.57
2014,Jan,1,4418.76,737.01,498.63
2014,Feb,2,4620.22,780.79,529.34
2014,Mar,3,4768.28,806.27,548.42
2014,Apr,4,4840.15,817.82,557.22
2014,May,5,4893.91,824.30,563.04
2014,Jun,6,4878.58,818.07,559.30
2014,Jul,7,5088.80,856.19,584.15
2014,Aug,8,5136.86,866.97,590.22
2014,Sep,9,5137.58,865.88,588.36
2014,Oct,10,5089.55,858.95,582.58
2014,Nov,11,5149.89,871.59,592.90
2014,Dec,12,5226.95,898.58,614.90
2015,Jan,1,5289.40,906.49,620.21
2015,Feb,2,5450.29,940.85,643.82
2015,Mar,3,5518.68,951.63,650.19
2015,Apr,4,5086.43,870.72,599.21
2015,May,5,5216.38,897.22,614.96
2015,Jun,6,4910.66,838.78,577.88
2015,Jul,7,4802.53,818.73,562.62
2015,Aug,8,4509.61,763.47,524.18
2015,Sep,9,4223.91,706.68,486.80
2015,Oct,10,4455.18,748.19,515.85
2015,Nov,11,4446.46,739.53,511.13
2015,Dec,12,4593.01,792.03,554.13
2016,Jan,1,4615.16,799.99,556.67
2016,Feb,2,4770.96,824.97,571.36
2016,Mar,3,4845.37,838.06,581.67
2016,Apr,4,4838.58,830.04,577.20
2016,May,5,4796.87,821.35,573.48
2016,Jun,6,5016.65,861.37,600.00
2016,Jul,7,5215.99,896.94,623.56
2016,Aug,8,5386.08,929.48,644.67
2016,Sep,9,5364.80,923.63,641.97
2016,Oct,10,5422.54,933.40,649.00
2016,Nov,11,5148.91,877.36,609.60
2016,Dec,12,5296.71,884.62,619.43
2017,Jan,1,5294.10,883.32,619.06
2017,Feb,2,5386.69,897.83,627.48
2017,Mar,3,5568.11,928.36,648.16
2017,Apr,4,5685.30,951.85,662.47
2017,May,5,5738.16,963.40,671.06
2017,Jun,6,5829.71,978.30,680.44
2017,Jul,7,5840.94,979.93,681.60
2017,Aug,8,5864.06,985.09,686.07
2017,Sep,9,5900.85,991.02,692.85
2017,Oct,10,6005.78,1006.58,701.52
2017,Nov,11,5952.14,994.77,691.28
2017,Dec,12,6355.65,1079.39,750.36
2018,Jan,1,6605.63,1105.76,768.84
2018,Feb,2,6597.22,1100.28,764.86
2018,Mar,3,6188.99,1031.49,717.78
2018,Apr,4,5983.59,989.04,689.70
2018,May,5,5983.59,989.57,689.65
2018,Jun,6,5799.24,951.88,664.66
2018,Jul,7,5936.44,974.75,681.41
2018,Aug,8,6018.46,987.65,689.08
2018,Sep,9,5976.55,983.61,686.06
2018,Oct,10,5831.65,957.47,668.49
2018,Nov,11,6056.12,998.86,694.03
2018,Dec,12,6194.50,982.73,688.23
2019,Jan,1,6532.97,1013.71,710.47
2019,Feb,2,6443.35,994.72,696.17
2019,Mar,3,6468.75,1008.29,707.93
2019,Apr,4,6455.35,1001.44,703.93
2019,May,5,6209.12,964.95,679.29
2019,Jun,6,6358.63,985.78,692.27
2019,Jul,7,6390.50,1001.90,700.33
2019,Aug,8,6328.47,989.67,695.00
2019,Sep,9,6169.10,963.91,673.46
2019,Oct,10,6228.32,975.85,679.25
2019,Nov,11,6011.83,940.74,655.82
2019,Dec,12,6299.54,1014.90,706.62
2020,Jan,1,5940.05,948.30,660.45
2020,Feb,2,5452.70,858.28,597.96
2020,Mar,3,4538.93,691.13,481.33
2020,Apr,4,4716.40,726.27,508.94
2020,May,5,4753.61,728.50,511.50
2020,Jun,6,4905.39,753.97,531.96
2020,Jul,7,5149.63,796.71,556.18
2020,Aug,8,5238.49,808.63,566.85
2020,Sep,9,5128.23,789.36,553.03
2020,Oct,10,5128.23,790.79,555.06
2020,Nov,11,5612.42,870.69,611.21
2020,Dec,12,5979.07,921.67,651.83
2021,Jan,1,5862.35,905.39,637.33
2021,Feb,2,6241.80,964.30,679.54
2021,Mar,3,6070.21,940.57,660.75
2021,Apr,4,5962.27,922.43,649.79
2021,May,5,5947.46,917.24,646.49
2021,Jun,6,5985.52,922.39,649.49
2021,Jul,7,5994.21,928.22,651.42
2021,Aug,8,6150.28,956.77,672.08
2021,Sep,9,6103.28,942.54,660.08
2021,Oct,10,6591.16,1016.09,714.02
2021,Nov,11,6623.36,1022.79,716.74
2021,Dec,12,6581.48,1007.45,712.52
